tsne_x,tsne_y,file_name,sound_type,id,gender,age,native_language,country,health
0.8031235,0.22667053,f1236_0_sigh,sigh,f1236, female,27, United States of America, EN, no
0.7671782,0.59933144,f1541_0_throatclearing,throatclearing,f1541, female,25, United States of America, EN, no
0.50727445,0.023833632,m1679_0_sniff,sniff,m1679, male,34, United States of America, EN, no
0.7820017,0.6448476,m1783_0_throatclearing,throatclearing,m1783, male,19, United Arab Erimates, AR, no
0.096294716,0.38334095,f1291_0_laughter,laughter,f1291, female,23, Italy, IT, no
0.56644815,0.4750991,m0209_0_sneeze,sneeze,m0209, male,39, Brazil, PT, no
0.15023017,0.6033039,f1284_0_laughter,laughter,f1284, female,38, France, FR, no
0.8335688,0.25288525,m1037_0_sigh,sigh,m1037, male,28, Italy, IT, no
0.5478303,0.80374265,m0019_0_cough,cough,m0019, male,23, Brazil, PT, no
0.22502089,0.52449274,f2769_0_laughter,laughter,f2769, female,34, United Kingdom, EN, yes
0.61744165,0.17071407,m1329_0_sniff,sniff,m1329, male,33, India, TA, no
0.62191373,0.53342444,m2930_0_throatclearing,throatclearing,m2930, male,21, Italy, IT, no
0.45616367,0.26771617,f2769_0_sniff,sniff,f2769, female,34, United Kingdom, EN, yes
0.742109,0.5085735,f1956_2_sneeze,sneeze,f1956, female,24, United States of America, EN, no
0.25170434,0.4868898,f0998_0_laughter,laughter,f0998, female,30, United States of America, EN, no
0.07935202,0.38952762,m2523_0_laughter,laughter,m2523, male,34, India, TA, no
0.1324779,0.50870806,m2536_0_laughter,laughter,m2536, male,31, United States of America, EN, no
0.43059626,0.1711803,f2899_0_sniff,sniff,f2899, female,41, United States of America, EN, no
0.54777753,0.40841496,f1216_0_sneeze,sneeze,f1216, female,50, United States of America, EN, no
0.5030274,0.48075688,m1528_0_sigh,sigh,m1528, male,26, India, TA, no
0.95334935,0.73773235,f2985_0_throatclearing,throatclearing,f2985, female,26, Italy, IT, no
0.80268073,0.5778022,m1770_0_throatclearing,throatclearing,m1770, male,23, Italy, IT, no
0.51350147,0.5648648,f0716_0_sneeze,sneeze,f0716, female,25, United States of America, EN, no
0.50787234,0.5313103,f1941_1_sneeze,sneeze,f1941, female,45, United States of America, EN, no
