tsne_x,tsne_y,file_name,sound_type,id,gender,age,native_language,country,health
0.96246624,0.28100652,f1236_0_sigh,sigh,f1236, female,27, United States of America, EN, no
0.820909,0.77798265,f1541_0_throatclearing,throatclearing,f1541, female,25, United States of America, EN, no
0.7981636,0.023230951,m1679_0_sniff,sniff,m1679, male,34, United States of America, EN, no
0.8238729,0.728705,m1783_0_throatclearing,throatclearing,m1783, male,19, United Arab Erimates, AR, no
0.1322939,0.49955,f1291_0_laughter,laughter,f1291, female,23, Italy, IT, no
0.47592923,0.38908568,m0209_0_sneeze,sneeze,m0209, male,39, Brazil, PT, no
0.11876488,0.5638928,f1284_0_laughter,laughter,f1284, female,38, France, FR, no
0.90629613,0.32111594,m1037_0_sigh,sigh,m1037, male,28, Italy, IT, no
0.5319258,0.7745232,m0019_0_cough,cough,m0019, male,23, Brazil, PT, no
0.24135971,0.5142665,f2769_0_laughter,laughter,f2769, female,34, United Kingdom, EN, yes
0.81396425,0.17058186,m1329_0_sniff,sniff,m1329, male,33, India, TA, no
0.7152085,0.6844934,m2930_0_throatclearing,throatclearing,m2930, male,21, Italy, IT, no
0.7093206,0.19494961,f2769_0_sniff,sniff,f2769, female,34, United Kingdom, EN, yes
0.59204185,0.49528065,f1956_2_sneeze,sneeze,f1956, female,24, United States of America, EN, no
0.062266476,0.41683587,f0998_0_laughter,laughter,f0998, female,30, United States of America, EN, no
0.12032571,0.49538648,m2523_0_laughter,laughter,m2523, male,34, India, TA, no
0.08345474,0.5631415,m2536_0_laughter,laughter,m2536, male,31, United States of America, EN, no
0.6157411,0.1762774,f2899_0_sniff,sniff,f2899, female,41, United States of America, EN, no
0.5393212,0.51845235,f1216_0_sneeze,sneeze,f1216, female,50, United States of America, EN, no
0.7149177,0.45654204,m1528_0_sigh,sigh,m1528, male,26, India, TA, no
0.8336686,0.7932348,f2985_0_throatclearing,throatclearing,f2985, female,26, Italy, IT, no
0.7107461,0.6687442,m1770_0_throatclearing,throatclearing,m1770, male,23, Italy, IT, no
0.5586069,0.5294807,f0716_0_sneeze,sneeze,f0716, female,25, United States of America, EN, no
0.5868568,0.49499628,f1941_1_sneeze,sneeze,f1941, female,45, United States of America, EN, no
0.59906656,0.3374928,f0743_0_sneeze,sneeze,f0743, female,28, India, BN, no
0.518779,0.69942623,m1794_0_cough,cough,m1794, male,34, Brazil, PT, no
