tsne_x,tsne_y,file_name,sound_type,id,gender,age,native_language,country,health
0.9761922,0.28291988,f1236_0_sigh,sigh,f1236, female,27, United States of America, EN, no
0.8165708,0.79499525,f1541_0_throatclearing,throatclearing,f1541, female,25, United States of America, EN, no
0.7151521,0.010545138,m1679_0_sniff,sniff,m1679, male,34, United States of America, EN, no
0.8473733,0.72807395,m1783_0_throatclearing,throatclearing,m1783, male,19, United Arab Erimates, AR, no
0.122333236,0.48040077,f1291_0_laughter,laughter,f1291, female,23, Italy, IT, no
0.39286378,0.48399436,m0209_0_sneeze,sneeze,m0209, male,39, Brazil, PT, no
0.090143874,0.5475489,f1284_0_laughter,laughter,f1284, female,38, France, FR, no
0.8880184,0.3278324,m1037_0_sigh,sigh,m1037, male,28, Italy, IT, no
0.50516456,0.7500808,m0019_0_cough,cough,m0019, male,23, Brazil, PT, no
0.24065039,0.5026051,f2769_0_laughter,laughter,f2769, female,34, United Kingdom, EN, yes
0.77254707,0.17238453,m1329_0_sniff,sniff,m1329, male,33, India, TA, no
0.7092608,0.68307745,m2930_0_throatclearing,throatclearing,m2930, male,21, Italy, IT, no
0.6486692,0.20360444,f2769_0_sniff,sniff,f2769, female,34, United Kingdom, EN, yes
0.5644104,0.4943365,f1956_2_sneeze,sneeze,f1956, female,24, United States of America, EN, no
0.08886631,0.37301207,f0998_0_laughter,laughter,f0998, female,30, United States of America, EN, no
0.10356572,0.4745695,m2523_0_laughter,laughter,m2523, male,34, India, TA, no
0.0590409,0.5388716,m2536_0_laughter,laughter,m2536, male,31, United States of America, EN, no
0.5331507,0.19145001,f2899_0_sniff,sniff,f2899, female,41, United States of America, EN, no
0.4943132,0.5006974,f1216_0_sneeze,sneeze,f1216, female,50, United States of America, EN, no
0.7338307,0.4581381,m1528_0_sigh,sigh,m1528, male,26, India, TA, no
0.8270488,0.81094277,f2985_0_throatclearing,throatclearing,f2985, female,26, Italy, IT, no
0.7022548,0.6669776,m1770_0_throatclearing,throatclearing,m1770, male,23, Italy, IT, no
0.50716066,0.5065563,f0716_0_sneeze,sneeze,f0716, female,25, United States of America, EN, no
0.56023204,0.4918724,f1941_1_sneeze,sneeze,f1941, female,45, United States of America, EN, no
0.57090014,0.35211653,f0743_0_sneeze,sneeze,f0743, female,28, India, BN, no
0.4783981,0.69073033,m1794_0_cough,cough,m1794, male,34, Brazil, PT, no
0.8747864,0.3824104,m3123_0_cough,cough,m3123, male,38, India, EN, yes
0.5917204,0.12570986,f0511_0_sniff,sniff,f0511, female,24, United States of America, EN, no
0.6760503,0.37065446,f0748_0_sigh,sigh,f0748, female,53, United States of America, ES, no
0.38198236,0.46457833,m0186_0_cough,cough,m0186, male,56, United States of America, EN, no
0.6298528,0.20108145,m2743_0_sniff,sniff,m2743, male,29, United States of America, EN, no
0.4087042,0.89992976,m2731_0_cough,cough,m2731, male,35, Pakistan, UR, no
0.56878597,0.5581568,m2047_0_sneeze,sneeze,m2047, male,40, India, HI, no
0.6251209,0.18994217,f1303_0_sniff,sniff,f1303, female,50, United States of America, EN, no
0.17863292,0.5233356,m0563_2_cough,cough,m0563, male,45, United States of America, EN, no
0.34380192,0.8654451,f2684_0_cough,cough,f2684, female,30, Canada, EN, no
0.64567906,0.84669983,f1621_0_cough,cough,f1621, female,53, United States of America, EN, no
0.154049,0.47464302,m0262_0_laughter,laughter,m0262, male,42, United States of America, EN, no
0.4588066,0.8354913,m2261_0_cough,cough,m2261, male,33, United Kingdom, EN, no
0.3989392,0.772168,m0618_0_throatclearing,throatclearing,m0618, male,27, United States of America, EN, no
0.56672233,0.17567308,f1653_0_sniff,sniff,f1653, female,43, United States of America, EN, no
0.63120925,0.31889364,f2558_0_sneeze,sneeze,f2558, female,22, United States of America, EN, no
0.17432398,0.4523887,f0028_0_laughter,laughter,f0028, female,51, United States of America, EN, no
0.8565087,0.20981775,m0056_0_sigh,sigh,m0056, male,25, Italy, IT, no
0.35785753,0.7945291,m1864_0_cough,cough,m1864, male,22, United Kingdom, EN, no
0.8545399,0.36757463,m2393_0_sigh,sigh,m2393, male,22, Brazil, PT, no
0.90570754,0.25944096,f2192_0_sigh,sigh,f2192, female,25, United States of America, EN, no
0.31115642,0.5211816,m0587_0_sneeze,sneeze,m0587, male,64, United States of America, EN, no
0.77666265,0.42083064,f2368_0_laughter,laughter,f2368, female,18, United States of America, EN, no
0.72945106,0.61463296,m0973_0_sneeze,sneeze,m0973, male,37, United States of America, EN, no
0.6978754,0.825606,f0627_0_throatclearing,throatclearing,f0627, female,55, United States of America, EN, no
0.08454375,0.40621266,f1685_0_laughter,laughter,f1685, female,25, United States of America, EN, no
0.5683682,0.267685,m0882_0_sniff,sniff,m0882, male,62, United States of America, EN, no
0.15812883,0.43602368,f1690_0_laughter,laughter,f1690, female,19, United States of America, EN, no
0.6825166,0.5876996,f0067_0_sneeze,sneeze,f0067, female,22, United States of America, EN, no
0.8136776,0.7960956,f1352_0_throatclearing,throatclearing,f1352, female,44, United States of America, EN, no
0.1248516,0.3575203,f0674_0_laughter,laughter,f0674, female,38, United States of America, EN, yes
0.52548015,0.18072583,f1585_0_sniff,sniff,f1585, female,34, United Kingdom, SW, no
0.5182414,0.95180905,f3340_0_cough,cough,f3340, female,39, United States of America, EN, no
0.59334284,0.07616781,m0772_0_sniff,sniff,m0772, male,37, United States of America, EN, no
0.45540303,0.36963505,m1190_0_throatclearing,throatclearing,m1190, male,42, Canada, EN, no
0.5060066,0.80930024,m0700_0_cough,cough,m0700, male,30, India, HI, no
0.7335552,0.21960235,f3332_0_sniff,sniff,f3332, female,29, United States of America, EN, no
0.098773696,0.3572114,f0661_0_laughter,laughter,f0661, female,40, United States of America, EN, no
0.9136903,0.22658366,m1762_0_sigh,sigh,m1762, male,28, Brazil, PT, no
0.12030647,0.37380922,f2890_0_laughter,laughter,f2890, female,36, United Kingdom, EN, no
0.51192546,0.6906852,m1112_0_cough,cough,m1112, male,27, United States of America, EN, no
0.14391814,0.4561798,f2885_0_laughter,laughter,f2885, female,38, United States of America, EN, no
0.624687,0.25086355,f2520_0_sniff,sniff,f2520, female,24, United States of America, EN, no
0.100542665,0.45665437,m2137_0_laughter,laughter,m2137, male,24, Brazil, PT, no
0.6467066,0.37512404,m0578_0_sneeze,sneeze,m0578, male,37, United States of America, EN, no
0.6263584,0.15123844,m0222_0_sniff,sniff,m0222, male,32, India, TA, no
0.7297278,0.7578469,f0450_0_throatclearing,throatclearing,f0450, female,25, United States of America, EN, no
0.7172899,0.31060234,m2495_0_sniff,sniff,m2495, male,34, United States of America, EN, no
0.5935989,0.7319226,m0250_0_cough,cough,m0250, male,40, United States of America, EN, no
0.42182,0.4226565,f1939_0_sneeze,sneeze,f1939, female,69, United States of America, EN, no
0.42710415,0.7180486,m1442_0_cough,cough,m1442, male,51, United States of America, EN, no
0.18684393,0.51461697,m2892_0_laughter,laughter,m2892, male,19, United States of America, EN, no
0.041582193,0.50816464,m2887_0_laughter,laughter,m2887, male,27, United States of America, EN, no
0.16034494,0.42146146,f2120_0_laughter,laughter,f2120, female,34, United States of America, ZH, no
0.6359521,0.86659837,f1201_0_sigh,sigh,f1201, female,31, Italy, IT, no
0.743139,0.22482865,m2763_0_sneeze,sneeze,m2763, male,31, United Kingdom, PT, no
0.40182883,0.74061406,m3263_0_sneeze,sneeze,m3263, male,46, United Kingdom, EN, no
0.5171173,0.11061714,f0208_0_sniff,sniff,f0208, female,40, United States of America, EN, no
0.49666038,0.9593545,f1138_0_cough,cough,f1138, female,35, India, HI, no
0.36787784,0.81556267,m2578_0_cough,cough,m2578, male,40, United States of America, EN, no
0.8096162,0.7961407,f1242_1_throatclearing,throatclearing,f1242, female,39, United States of America, EN, no
0.23129039,0.51276714,m1687_0_laughter,laughter,m1687, male,58, United States of America, EN, no
