tsne_x,tsne_y,file_name,sound_type,id,gender,age,native_language,country,health,grid_x,grid_y,start_time,end_time
0.9761922,0.28291988,f1236_0_sigh,sigh,f1236, female,27, United States of America, EN, no,141,33,0.0,1.08
0.8165708,0.79499525,f1541_0_throatclearing,throatclearing,f1541, female,25, United States of America, EN, no,137,133,1.08,2.16
0.7151521,0.010545138,m1679_0_sniff,sniff,m1679, male,34, United States of America, EN, no,112,0,2.16,3.24
0.8473733,0.72807395,m1783_0_throatclearing,throatclearing,m1783, male,19, United Arab Erimates, AR, no,140,121,3.24,4.32
0.122333236,0.48040077,f1291_0_laughter,laughter,f1291, female,23, Italy, IT, no,13,58,4.32,5.4
0.39286378,0.48399436,m0209_0_sneeze,sneeze,m0209, male,39, Brazil, PT, no,32,66,5.4,6.084
0.090143874,0.5475489,f1284_0_laughter,laughter,f1284, female,38, France, FR, no,7,100,6.084,7.164
0.8880184,0.3278324,m1037_0_sigh,sigh,m1037, male,28, Italy, IT, no,124,47,7.164,8.244
0.50516456,0.7500808,m0019_0_cough,cough,m0019, male,23, Brazil, PT, no,55,110,8.244,9.324
0.24065039,0.5026051,f2769_0_laughter,laughter,f2769, female,34, United Kingdom, EN, yes,26,63,9.324,10.404
0.77254707,0.17238453,m1329_0_sniff,sniff,m1329, male,33, India, TA, no,116,14,10.404,11.484
0.7092608,0.68307745,m2930_0_throatclearing,throatclearing,m2930, male,21, Italy, IT, no,108,103,11.484,12.564
0.6486692,0.20360444,f2769_0_sniff,sniff,f2769, female,34, United Kingdom, EN, yes,79,27,12.564,13.644
0.5644104,0.4943365,f1956_2_sneeze,sneeze,f1956, female,24, United States of America, EN, no,65,72,13.644,14.724
0.08886631,0.37301207,f0998_0_laughter,laughter,f0998, female,30, United States of America, EN, no,7,18,14.724,15.804
0.10356572,0.4745695,m2523_0_laughter,laughter,m2523, male,34, India, TA, no,11,56,15.804,16.884
0.0590409,0.5388716,m2536_0_laughter,laughter,m2536, male,31, United States of America, EN, no,4,95,16.884,17.964
0.5331507,0.19145001,f2899_0_sniff,sniff,f2899, female,41, United States of America, EN, no,31,18,17.964,18.432
0.4943132,0.5006974,f1216_0_sneeze,sneeze,f1216, female,50, United States of America, EN, no,46,73,18.432,19.512
0.7338307,0.4581381,m1528_0_sigh,sigh,m1528, male,26, India, TA, no,102,67,19.512,20.592
0.8270488,0.81094277,f2985_0_throatclearing,throatclearing,f2985, female,26, Italy, IT, no,142,141,20.592,21.672
0.7022548,0.6669776,m1770_0_throatclearing,throatclearing,m1770, male,23, Italy, IT, no,106,100,21.672,22.752
0.50716066,0.5065563,f0716_0_sneeze,sneeze,f0716, female,25, United States of America, EN, no,50,75,22.752,23.832
0.56023204,0.4918724,f1941_1_sneeze,sneeze,f1941, female,45, United States of America, EN, no,63,70,23.832,24.912
0.57090014,0.35211653,f0743_0_sneeze,sneeze,f0743, female,28, India, BN, no,58,42,24.912,25.992
0.4783981,0.69073033,m1794_0_cough,cough,m1794, male,34, Brazil, PT, no,45,98,25.992,27.072
0.8747864,0.3824104,m3123_0_cough,cough,m3123, male,38, India, EN, yes,126,63,27.072,28.152
0.5917204,0.12570986,f0511_0_sniff,sniff,f0511, female,24, United States of America, EN, no,51,15,28.152,29.232
0.6760503,0.37065446,f0748_0_sigh,sigh,f0748, female,53, United States of America, ES, no,92,52,29.232,30.312
