m0001, male,36, United States of America, EN, no
m0002, male,19, Italy, IT, yes
f0003, female,56, United States of America, EN, no
f0004, female,41, United States of America, EN, no
o0005, other,22, United States of America, EN, no
m0006, male,29, United States of America, EN, no
f0007, female,24, Brazil, PT, no
f0008, female,40, United States of America, HI, no
m0009, male,26, Spain, ES, yes
f0010, female,23, Brazil, PT, no
m0011, male,30, United States of America, EN, no
m0012, male,31, India, HI, no
m0013, male,37, Netherlands, NL, no
m0014, male,21, United States of America, EN, no
f0015, female,32, Brazil, PT, no
m0016, male,42, United States of America, EN, no
f0017, female,41, United States of America, EN, no
m0018, male,28, Italy, IT, no
m0019, male,23, Brazil, PT, no
m0020, male,24, India, HI, yes
m0021, male,31, Brazil, PT, no
m0022, male,24, United States of America, EN, no
m0023, male,24, Italy, IT, no
m0024, male,33, United States of America, EN, no
m0025, male,33, United States of America, EN, no
m0026, male,32, Canada, EN, no
f0027, female,36, Brazil, PT, no
f0028, female,51, United States of America, EN, no
f0029, female,37, United States of America, EN, no
m0030, male,28, United States of America, EN, no
m0031, male,25, India, TA, no
m0032, male,27, India, HI, no
m0033, male,45, United States of America, EN, yes
m0034, male,30, United States of America, EN, no
m0035, male,38, United States of America, EN, no
m0036, male,24, United States of America, EN, no
f0037, female,35, United States of America, EN, no
m0038, male,33, United States of America, EN, no
f0039, female,36, United States of America, HY, no
m0040, male,33, United States of America, EN, no
m0041, male,33, Italy, EN, no
m0042, male,31, Brazil, PT, no
f0043, female,39, United States of America, EN, no
m0044, male,26, Brazil, PT, no
m0045, male,23, United States of America, ES, no
m0046, male,24, United States of America, EN, no
m0047, male,31, United States of America, EN, no
m0048, male,21, India, HI, no
m0049, male,26, Brazil, PT, no
m0050, male,19, Brazil, PT, no
m0051, male,35, Brazil, PT, yes
f0052, female,33, India, TA, no
f0053, female,26, United States of America, EN, no
m0054, male,27, United States of America, EN, no
m0055, male,31, Brazil, PT, no
m0056, male,25, Italy, IT, no
f0057, female,21, Brazil, PT, no
m0058, male,25, Spain, ES, no
m0059, male,33, India, TE, no
f0060, female,19, Italy, IT, no
f0061, female,22, Brazil, PT, no
m0062, male,22, United States of America, EN, no
m0063, male,68, United States of America, EN, no
m0064, male,28, India, HI, no
m0065, male,34, Colombia, ES, no
f0066, female,39, United States of America, EN, no
f0067, female,22, United States of America, EN, no
m0068, male,36, Brazil, PT, no
m0069, male,27, India, HI, no
m0070, male,32, United States of America, EN, no
m0071, male,33, Brazil, PT, no
m0072, male,33, United Kingdom, EN, no
f0073, female,39, Brazil, PT, no
f0074, female,33, United States of America, EN, no
m0075, male,40, India, HI, no
m0076, male,26, United States of America, EN, no
f0077, female,32, Argentina, ES, no
m0078, male,57, United Kingdom, EN, no
m0079, male,22, United Kingdom, EN, no
f0080, female,49, United States of America, EN, no
f0081, female,31, Zimbabwe, EN, no
m0082, male,31, Brazil, PT, no
m0083, male,30, Brazil, PT, no
m0084, male,42, Italy, IT, no
f0085, female,28, United States of America, EN, no
f0086, female,30, United Kingdom, EN, no
f0087, female,25, Italy, IT, no
f0088, female,22, United States of America, EN, no
m0089, male,49, United States of America, EN, no
m0090, male,28, Brazil, PT, no
f0091, female,33, India, HI, no
m0092, male,33, United States of America, EN, no
m0093, male,32, India, HI, no
m0094, male,30, United States of America, EN, no
m0095, male,18, United States of America, EN, no
f0096, female,49, United States of America, EN, no
